date;price
07/2019;1.206543
08/2019;1.200383
09/2019;1.21126
10/2019;1.210808
11/2019;1.211809
12/2019;1.222928
01/2020;1.239714
02/2020;1.200668
03/2020;1.113187
04/2020;1.020831
05/2020;0.992753
06/2020;1.025707
07/2020;1.058219
08/2020;1.060159
09/2020;1.039094
10/2020;1.026686
11/2020;1.027423
12/2020;1.062578
01/2021;1.093965
02/2021;1.136013
03/2021;1.179187
04/2021;1.178529
05/2021;1.202773
06/2021;1.231834
07/2021;1.259899
08/2021;1.261126
09/2021;1.276618
10/2021;1.350342
11/2021;1.376309
12/2021;1.342757
01/2022;1.383444
02/2022;1.46449
03/2022;1.757438
04/2022;1.821805
05/2022;1.870205
06/2022;2.023328
07/2022;1.962808
08/2022;1.840526
09/2022;1.858817
10/2022;1.914799
11/2022;1.88323
12/2022;1.680008
01/2023;1.682495
02/2023;1.618842
03/2023;1.565803
04/2023;1.503748
05/2023;1.419626
06/2023;1.428213
07/2023;1.458734
08/2023;1.583767
09/2023;1.653007
10/2023;1.653859
11/2023;1.583022
12/2023;1.506092
01/2024;1.487162
02/2024;1.53893
03/2024;1.536285
04/2024;1.548482
05/2024;1.499353
06/2024;1.466096
07/2024;1.490093
08/2024;1.447935
09/2024;1.3818
10/2024;1.383224
11/2024;1.407927
12/2024;1.433139
01/2025;1.482168
02/2025;1.493715
03/2025;1.451257
04/2025;1.403901
05/2025;1.364517
06/2025;1.381823
